Username,ID,ExperimentName,Session,Trial,Date,TimeDif,Condition Number,Stimuli File,Order File,Condition Description,Condition Notes,Stimuli*Cue,Stimuli*Answer,Stimuli*Value,"Stimuli*AdvShuffle; Target Cue, Answer",Stimuli*AdvShuffle; Target Value,Procedure*Item,Procedure*Trial Type,Procedure*Max Time,Procedure*Min Time,Procedure*Text,Procedure*Settings,Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus,Response*Study_Protocol,Grid*grid,Response*JOLItem0,Response*JOLItem1,Response*JOLItem2,Response*JOLItem3,Response*JOLItem4,Response*JOLItem5,Response*JOLItem6,Response*JOLItem7,Response*JOLItem8,Response*JOLItem9,Response*IsCONF,Response*Selectivity_Index,Response*SI_Best,Response*SI_Chance,Response*CorrectCount,Response*PossibleVal,Response*ReceivedVal,Response*Coord,Response*Value,Response*Correct,Response*RespOrder,Response*CorrectCoord,Response*JOL,Grid_Item_Presentation Order,Grid_Item_Coord,Grid_Item_Value,Grid_Item_Correct,Grid_Item_RespOrder,Grid_Item_CorrectCoord,Grid_Item_JOL,Grid_Item_Stim_Cue,Grid_Item_Stim_Answer,Grid_Item_Stim_Value,"Grid_Item_Stim_AdvShuffle; Target Cue, Answer",Grid_Item_Stim_AdvShuffle; Target Value
9999999999,abcdefghijk,VSS-CONF-GLBLOC,1,1,2020-04-16T10:08:59-07:00,11.82683706,1,vssStim.csv,vssProcSimLocalOnly.csv,vss-sim-loc,"10 items presented simultaneously in a grid, with values 1-10, without tones (only local item-level confidence ratings)",,,,,,0,instruct,user,10,"<p>In this task, you will be shown some grids with various objects placed throughout. Your goal is to try to remember the locations of the objects within the grid to the best of your ability.</p><p>You will be presented with a grid for a total of 30 seconds. Please study the location of the items within the grid. After the 30 seconds has elapsed, the grid will automatically disappear and you will be shown a blank grid with the various objects underneath.</p><p>Your goal is to place each object in its correct location by dragging (click and hold) on the object from the bottom and dropping the item into the cell you wish to place the item into. If you are not sure where an object was presented, please make a guess at its correct location.</p><p>A box will pop-up to the right of the grid after placing the object. Please enter a number from 1 (not at all confident) to 10 (extremely confident), indicating how confident you are that the item was replaced in its previously viewed location. Then, click the ""Save Rating"" button in the pop-up box to close it before placing the next item. If you change an item's location after placing it, you will be able to update your confidence rating, if necessary, otherwise your previous rating will be kept.</p>",,off,11611,,,-1,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999999999,abcdefghijk,VSS-CONF-GLBLOC,1,2,2020-04-16T10:09:12-07:00,13.32631087,1,vssStim.csv,vssProcSimLocalOnly.csv,vss-sim-loc,"10 items presented simultaneously in a grid, with values 1-10, without tones (only local item-level confidence ratings)",,,,,,0,instruct,user,10,"<p>After you hit submit, you will be shown your total score. Your total score depends on how many items you correctly placed.</p><p>In this task, the objects within the grid will differ in value. The value of the objects will range from 1 to 10 and will be indicated in the top left corner of each cell.</p><p>Your total score depends on the point values of the objects you correctly placed. If you correctly place an object that is worth 8 points you will receive 8 points towards your total score. If you correctly place an object that is worth 3 points you will receive 3 points towards your total score. You will not be penalized for misplacing items, so if you're not sure, please try to guess the item's location. Your goal is to maximize your total score.</p><p>The next screen will show you an example.</p>",,off,13032,,,-1,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999999999,abcdefghijk,VSS-CONF-GLBLOC,1,3,2020-04-16T10:09:23-07:00,11.19380212,1,vssStim.csv,vssProcSimLocalOnly.csv,vss-sim-loc,"10 items presented simultaneously in a grid, with values 1-10, without tones (only local item-level confidence ratings)",,,,,,0,demoGrid1,user,5,"<p>For example, you will be shown a like this grid for 30 seconds.</p>",,off,10659,,,-1,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999999999,abcdefghijk,VSS-CONF-GLBLOC,1,4,2020-04-16T10:09:43-07:00,19.83329105,1,vssStim.csv,vssProcSimLocalOnly.csv,vss-sim-loc,"10 items presented simultaneously in a grid, with values 1-10, without tones (only local item-level confidence ratings)",,,,,,0,demoGrid2,user,5,"<p>After 30 seconds, the grid will disappear and you will be shown a blank grid with the objects underneath.</p>|<p>To place an item in the grid, you first click the item and then click the cell into which you would like to place it.</p>",,off,19261,,,-1,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999999999,abcdefghijk,VSS-CONF-GLBLOC,1,5,2020-04-16T10:10:07-07:00,23.72403598,1,vssStim.csv,vssProcSimLocalOnly.csv,vss-sim-loc,"10 items presented simultaneously in a grid, with values 1-10, without tones (only local item-level confidence ratings)",,,,,,0,demoGrid3,user,5,"<p>Please complete this process for all of the items. When you have placed the last item in the grid, you will be given your total score. After you receive your total score, you will be shown the next grid. This process will repeat for a total of 8 grids.</p>",,off,23000,,,-1,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999999999,abcdefghijk,VSS-CONF-GLBLOC,1,6,2020-04-16T10:10:41-07:00,34.17430186,1,vssStim.csv,vssProcSimLocalOnly.csv,vss-sim-loc,"10 items presented simultaneously in a grid, with values 1-10, without tones (only local item-level confidence ratings)",Images/kettle.jpg|Images/microphone.GIF|Images/whistle.png|Images/football.png|Images/key.png|Images/dart.png|Images/trophy.jpg|Images/toy.jpg|Images/penny.png|Images/drum.png,kettle|microphone|whistle|football|key|dart|trophy|toy|penny|drum,3|2|4|7|6|1|10|5|9|8,allStim|allStim|allStim|allStim|allStim|allStim|allStim|allStim|allStim|allStim,Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1,2::11,vdrGridDA,user,,,"""isi"": 0, ""study protocol"": ""simultaneous"", ""tones"": ""off""",off,33514,,,-1,-1,,,,1,simultaneous,"[{""4"":5,""2"":1},{""4"":0,""1"":9},{""2"":4,""0"":3},{""3"":2,""1"":8},{""3"":7,""0"":6}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999999999,abcdefghijk,VSS-CONF-GLBLOC,1,7,2020-04-16T10:12:25-07:00,104.2007482,1,vssStim.csv,vssProcSimLocalOnly.csv,vss-sim-loc,"10 items presented simultaneously in a grid, with values 1-10, without tones (only local item-level confidence ratings)",Images/kettle.jpg|Images/microphone.GIF|Images/whistle.png|Images/football.png|Images/key.png|Images/dart.png|Images/trophy.jpg|Images/toy.jpg|Images/penny.png|Images/drum.png,kettle|microphone|whistle|football|key|dart|trophy|toy|penny|drum,3|2|4|7|6|1|10|5|9|8,allStim|allStim|allStim|allStim|allStim|allStim|allStim|allStim|allStim|allStim,Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1,2::11,vdrGridTestDALocal,user,,"Please place the items in their correct locations. If you do not remember exactly, please provide your best guess.",,off,103559,,,14351,92038,,,,1,,,4,4,8,5,1,4,2,9,1,2,undefined,-0.125,19,11,2,55,10,"4.1,0.0,3.4,0.2,0.3,3.0,1.4,3.3,1.1,2.1","3,2,4,7,6,1,10,5,9,8","1,0,0,1,0,0,0,0,0,0","5,6,2,1,9,4,8,3,10,7","4.1,2.0,3.3,0.2,2.2,4.0,0.4,3.4,1.3,1.1","4,4,8,5,1,4,2,9,1,2,,,,,,,,,,",6,3,1,0,4,4,4,Images/dart.png,dart,1,allStim,Grid1
9999999999,abcdefghijk,VSS-CONF-GLBLOC,1,7,2020-04-16T10:12:25-07:00,0.001669884,1,vssStim.csv,vssProcSimLocalOnly.csv,vss-sim-loc,"10 items presented simultaneously in a grid, with values 1-10, without tones (only local item-level confidence ratings)",Images/kettle.jpg|Images/microphone.GIF|Images/whistle.png|Images/football.png|Images/key.png|Images/dart.png|Images/trophy.jpg|Images/toy.jpg|Images/penny.png|Images/drum.png,kettle|microphone|whistle|football|key|dart|trophy|toy|penny|drum,3|2|4|7|6|1|10|5|9|8,allStim|allStim|allStim|allStim|allStim|allStim|allStim|allStim|allStim|allStim,Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1,2::11,vdrGridTestDALocal,user,,"Please place the items in their correct locations. If you do not remember exactly, please provide your best guess.",,off,103559,,,14351,92038,,,,1,,,4,4,8,5,1,4,2,9,1,2,undefined,-0.125,19,11,2,55,10,"4.1,0.0,3.4,0.2,0.3,3.0,1.4,3.3,1.1,2.1","3,2,4,7,6,1,10,5,9,8","1,0,0,1,0,0,0,0,0,0","5,6,2,1,9,4,8,3,10,7","4.1,2.0,3.3,0.2,2.2,4.0,0.4,3.4,1.3,1.1","4,4,8,5,1,4,2,9,1,2,,,,,,,,,,",2,0,2,0,6,2,4,Images/microphone.GIF,microphone,2,allStim,Grid1
9999999999,abcdefghijk,VSS-CONF-GLBLOC,1,7,2020-04-16T10:12:25-07:00,0.001540899,1,vssStim.csv,vssProcSimLocalOnly.csv,vss-sim-loc,"10 items presented simultaneously in a grid, with values 1-10, without tones (only local item-level confidence ratings)",Images/kettle.jpg|Images/microphone.GIF|Images/whistle.png|Images/football.png|Images/key.png|Images/dart.png|Images/trophy.jpg|Images/toy.jpg|Images/penny.png|Images/drum.png,kettle|microphone|whistle|football|key|dart|trophy|toy|penny|drum,3|2|4|7|6|1|10|5|9|8,allStim|allStim|allStim|allStim|allStim|allStim|allStim|allStim|allStim|allStim,Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1,2::11,vdrGridTestDALocal,user,,"Please place the items in their correct locations. If you do not remember exactly, please provide your best guess.",,off,103559,,,14351,92038,,,,1,,,4,4,8,5,1,4,2,9,1,2,undefined,-0.125,19,11,2,55,10,"4.1,0.0,3.4,0.2,0.3,3.0,1.4,3.3,1.1,2.1","3,2,4,7,6,1,10,5,9,8","1,0,0,1,0,0,0,0,0,0","5,6,2,1,9,4,8,3,10,7","4.1,2.0,3.3,0.2,2.2,4.0,0.4,3.4,1.3,1.1","4,4,8,5,1,4,2,9,1,2,,,,,,,,,,",1,4.1,3,1,5,4.1,4,Images/kettle.jpg,kettle,3,allStim,Grid1
9999999999,abcdefghijk,VSS-CONF-GLBLOC,1,7,2020-04-16T10:12:25-07:00,0.001548052,1,vssStim.csv,vssProcSimLocalOnly.csv,vss-sim-loc,"10 items presented simultaneously in a grid, with values 1-10, without tones (only local item-level confidence ratings)",Images/kettle.jpg|Images/microphone.GIF|Images/whistle.png|Images/football.png|Images/key.png|Images/dart.png|Images/trophy.jpg|Images/toy.jpg|Images/penny.png|Images/drum.png,kettle|microphone|whistle|football|key|dart|trophy|toy|penny|drum,3|2|4|7|6|1|10|5|9|8,allStim|allStim|allStim|allStim|allStim|allStim|allStim|allStim|allStim|allStim,Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1|Grid1,2::11,vdrGridTestDALocal,user,,"Please place the items in their correct locations. If you do not remember exactly, please provide your best guess.",,off,103559,,,14351,92038,,,,1,,,4,4,8,5,1,4,2,9,1,2,undefined,-0.125,19,11,2,55,10,"4.1,0.0,3.4,0.2,0.3,3.0,1.4,3.3,1.1,2.1","3,2,4,7,6,1,10,5,9,8","1,0,0,1,0,0,0,0,0,0","5,6,2,1,9,4,8,3,10,7","4.1,2.0,3.3,0.2,2.2,4.0,0.4,3.4,1.3,1.1","4,4,8,5,1,4,2,9,1,2,,,,,,,,,,",3,3.4,4,0,2,3.3,8,Images/whistle.png,whistle,4,allStim,Grid1
