Item,Trial Type,Max Time,Min Time,Text,Settings,Shuffle
0,instruct,user,10,"<p>In this task, you will be shown some grids with various objects placed throughout. Your goal is to try to remember the locations of the objects within the grid to the best of your ability.</p><p>You will be presented with a grid for a total of 30 seconds. Please study the location of the items within the grid. After the 30 seconds has elapsed, the grid will automatically disappear and you will be shown a blank grid with the various objects underneath.</p><p>Your goal is to place each object in its correct location by dragging (click and hold) on the object from the bottom and dropping the item into the cell you wish to place the item into. If you are not sure where an object was presented, please make a guess at its correct location.</p><p>After you have placed all of the objects in the grid, you will be asked to provide a rating of how many of the items you think are correctly placed ranging from 0 items (none correctly placed) to 10 items (all items correctly placed).</p>",,off
0,instruct,user,10,"<p>After you hit submit, you will be shown your total score. Your total score depends on how many items you correctly placed.</p><p>In this task, the objects within the grid will differ in value. The value of the objects will range from 1 to 10 and will be indicated in the top left corner of each cell.</p><p>Your total score depends on the point values of the objects you correctly placed. If you correctly place an object that is worth 8 points you will receive 8 points towards your total score. If you correctly place an object that is worth 3 points you will receive 3 points towards your total score. You will not be penalized for misplacing items, so if you're not sure, please try to guess the item's location. Your goal is to maximize your total score.</p><p>The next screen will show you an example.</p>",,off
0,demoGrid1,user,5,"<p>For example, you will be shown a like this grid for 30 seconds.</p>",,off
0,demoGrid6,user,5,"<p>After 30 seconds, the grid will disappear and you will be shown a blank grid with the objects underneath.</p>|<p>To place an item in the grid, you first click the item and then click the cell into which you would like to place it.</p>",,off
0,demoGrid5,user,5,"<p>Please complete this process for all of the items. When you have placed the last item in the grid, you will be given your total score. After you receive your total score, you will be shown the next grid. This process will repeat for a total of 8 grids.</p>",,off
2::11,vdrGridDA,user,,,"""isi"": 0, ""study protocol"": ""simultaneous"", ""tones"": ""off""",off
2::11,vdrGridTestDAGlobal,user,,"Please place the items in their correct locations. If you do not remember exactly, please provide your best guess.",,off
12::21,vdrGridDA,user,,,"""isi"": 0, ""study protocol"": ""simultaneous"", ""tones"": ""off""",off
12::21,vdrGridTestDAGlobal,user,,"Please place the items in their correct locations. If you do not remember exactly, please provide your best guess.",,off
22::31,vdrGridDA,user,,,"""isi"": 0, ""study protocol"": ""simultaneous"", ""tones"": ""off""",off
22::31,vdrGridTestDAGlobal,user,,"Please place the items in their correct locations. If you do not remember exactly, please provide your best guess.",,off
32::41,vdrGridDA,user,,,"""isi"": 0, ""study protocol"": ""simultaneous"", ""tones"": ""off""",off
32::41,vdrGridTestDAGlobal,user,,"Please place the items in their correct locations. If you do not remember exactly, please provide your best guess.",,off
42::51,vdrGridDA,user,,,"""isi"": 0, ""study protocol"": ""simultaneous"", ""tones"": ""off""",off
42::51,vdrGridTestDAGlobal,user,,"Please place the items in their correct locations. If you do not remember exactly, please provide your best guess.",,off
52::61,vdrGridDA,user,,,"""isi"": 0, ""study protocol"": ""simultaneous"", ""tones"": ""off""",off
52::61,vdrGridTestDAGlobal,user,,"Please place the items in their correct locations. If you do not remember exactly, please provide your best guess.",,off
62::71,vdrGridDA,user,,,"""isi"": 0, ""study protocol"": ""simultaneous"", ""tones"": ""off""",off
62::71,vdrGridTestDAGlobal,user,,"Please place the items in their correct locations. If you do not remember exactly, please provide your best guess.",,off
72::81,vdrGridDA,user,,,"""isi"": 0, ""study protocol"": ""simultaneous"", ""tones"": ""off""",off
72::81,vdrGridTestDAGlobal,user,,"Please place the items in their correct locations. If you do not remember exactly, please provide your best guess.",,off
